category,satisfaction_score,Aesthetics,Safety,Vibrancy,Wealth,Depression,Boring
CAT,3.5,4.778753161,2.928939998,3.3922773,5.086559415,5.80665946,5.292019367
CAT,3.5,4.829198718,3.067636609,3.380561769,5.159613132,5.794444561,5.278367043
CAT,3.6,4.964380145,2.983756423,3.332848966,5.193813682,5.872977614,5.140472174
CAT,3.7,4.777924776,3.029828072,3.449207306,5.218442798,5.702931166,5.259037614
CAT,3.5,4.894743443,2.983396888,3.284845054,5.119862676,5.859107852,5.428579211
CAT,4.2,4.81373477,3.059794962,3.479413569,5.099757433,5.744053364,5.226855159
CAT,3.6,4.87623322,2.988717139,3.246830106,5.081785083,5.830191255,5.090598345
CAT,3.5,4.953722477,3.161091864,3.296263874,5.284884691,5.846035123,5.295259833
CAT,3.5,4.777753115,2.898610473,3.46301502,5.103794813,5.779465914,5.172149658
CAT,3.8,4.859211683,3.060355723,3.302471399,5.11741519,5.678169966,5.172566533
CAT,4.8,4.926077962,3.093898058,3.459176779,5.197325587,5.835598588,5.261310697
CAT,4.7,4.842482567,3.060784757,3.283557892,5.154150963,5.867509842,5.286456823
CAT,4.7,4.875394583,2.964633405,3.458127916,5.154988766,5.958097696,5.116944313
CAT,3.8,4.790176272,3.107512116,3.433786809,5.120713472,5.84052372,5.198570728
CAT,3.6,4.865394115,3.0035429,3.457045555,5.243701696,5.837437868,5.295678616
CAT,3.5,4.870310307,2.96121341,3.328249693,5.062419534,5.76745224,5.029638171
CAT,3.6,4.954302669,3.017196059,3.214427352,5.242718339,5.801871061,5.152827978
CAT,3.5,4.868026137,3.176910818,3.282556176,5.10111475,5.881532669,5.094135761
CAT,3.5,4.865864515,3.053809583,3.125762343,5.225208044,5.774169803,5.041687727
CAT,3.5,4.877771378,3.109197021,3.539654076,5.271442056,5.95585084,5.46162951
CAT,3.6,4.945451975,2.945625663,3.345946789,5.24056983,5.774167418,5.341195464
CAT,3.8,4.812192202,3.094884455,3.463347733,5.182129502,5.785822153,5.178865314
CAT,3.7,4.874800801,2.964413822,3.373709977,5.121064901,5.944010377,4.882547021
CAT,3.8,4.851738214,3.065586865,3.505546272,5.186824441,5.786953926,5.198040605
CAT,3.5,4.966794491,3.118842721,3.485966861,5.173588037,5.961318851,5.409626365
CAT,4.6,4.803653121,3.163606822,3.300075591,5.08050859,5.823815465,5.195528984
CAT,3.7,4.780210733,3.013826907,3.270848811,4.989422083,5.673485279,5.166196465
CAT,3.6,4.821799874,3.17543906,3.350772381,5.128067732,5.813274741,5.335985303
CAT,3.8,4.885160446,3.066077113,3.465120077,5.198312402,5.681151032,5.174849272
CAT,3.4,4.927313924,3.134051025,3.420140624,5.269890428,5.897763252,5.189437866
CAT,4.7,4.78628695,2.990965068,3.178595364,5.090520382,5.65998888,5.139460802
CAT,3.5,4.907186389,3.077004194,3.438966274,5.06895864,5.794085145,5.100635529
CAT,3.4,4.863022327,3.223978341,3.229593456,5.121988773,6.0445472,5.153298378
CAT,3.5,4.77512157,3.003866613,3.440105319,5.188210726,6.030475855,5.155212522
CAT,3.8,4.942775369,3.210899353,3.365809858,5.232855916,5.947493076,5.244509816
CAT,3.5,4.844912648,3.042006254,3.408149421,5.038985014,5.802341104,5.245124102
CAT,3.7,4.88026166,2.975351214,3.401226103,5.105314255,5.87952137,5.198251009
CAT,3.6,4.909484148,3.105339408,3.474946916,5.129928112,5.68375957,5.301273584
CAT,3.5,4.836541772,2.996183872,3.289336622,5.19055295,5.670219421,5.160989642
CAT,3.4,4.945376396,3.137266934,3.421527863,5.229689479,5.936473727,5.304245949
CAT,3.6,4.881239414,3.176187038,3.367355406,5.154693246,5.928909183,5.171623826
CAT,3.8,4.880242944,3.100965261,3.400511086,5.128308654,5.839219093,5.250020504
CAT,3.7,4.946834326,3.131841063,3.252350152,5.127102137,5.736799955,5.199826479
CAT,3.6,4.910998344,2.99098748,3.326569498,5.199083567,5.987910271,5.285761476
CAT,3.5,4.768851399,3.137663543,3.620630085,5.059255838,5.802184582,5.033460975
CAT,3.5,4.882763267,3.049035251,3.369635224,5.068552256,5.816075683,5.191015124
CAT,3.7,4.772452712,2.979513764,3.460008681,5.020437717,5.698991179,5.078628421
CAT,3.8,4.872608423,2.980454266,3.39789921,5.094416142,5.874092579,5.120841861
CAT,3.4,4.816468358,2.903904676,3.290162086,5.067490458,5.773016214,5.103938699
CAT,3.7,4.855965495,3.007526875,3.211002827,4.970397234,5.985372186,5.097596884
CAT,4.3,4.762992501,3.28154093,3.5679304,5.216283202,5.769138217,5.475727558
CAT,3.8,4.916098356,3.195594668,3.120272458,5.080599904,5.994635463,5.048445225
CAT,4.6,4.823969007,2.953389943,3.420299768,5.07570374,5.81592226,5.105864644
CAT,3.6,4.936597943,3.153948903,3.318775117,5.237390399,6.035790324,5.24260366
CAT,3.6,4.736315966,2.966977417,3.383491397,5.083164692,5.686774969,5.136367559
CAT,4.6,4.850328207,2.921973526,3.389790952,5.138566017,5.877514005,5.111547351
CAT,3.6,4.862325668,3.214211643,3.303984642,5.096421719,5.685724378,5.019134641
CAT,3.4,4.758764863,2.9865098,3.315129161,5.137832284,5.762843132,5.20478189
CAT,3.6,4.763254642,3.077501357,3.571526647,5.136558056,5.71005404,5.209909558
CAT,3.5,4.883301497,3.099896789,3.322422445,5.231203675,5.955569267,5.179494143
CAT,3.5,4.781453133,3.030873597,3.472070873,5.137619376,5.722808361,5.184290171
CAT,3.5,4.93054688,3.120126307,3.309595764,5.341964722,5.957364917,5.447193742
CAT,3.7,4.85076797,3.152459502,3.189748406,5.053430557,5.902565598,5.015523434
CAT,3.8,4.851262331,3.111947298,3.47917521,5.217527747,5.813670039,5.346402407
CAT,4.2,4.882634878,3.088933945,3.21231389,5.225587606,5.917665601,5.265375853
CAT,3.8,4.871756077,3.162932873,3.567825675,5.178996444,5.842108846,5.175135612
CAT,3.7,4.75983572,3.136316597,3.216544509,5.138722897,5.8551507,5.290887356
CAT,3.6,4.91944468,3.132044315,3.275020421,5.189283609,5.892028213,5.192671418
CAT,3.7,4.870726109,3.176401675,3.479379714,5.254338264,5.881471992,5.402013659
CAT,3.5,4.87475884,3.086587787,3.523000002,5.25724113,5.884044647,5.196828723
CAT,3.5,4.976667166,3.183442891,3.490641117,5.28333652,5.9113276,5.249498129
CAT,3.5,4.897633433,3.029724598,3.513869643,5.170605898,5.732872844,5.40308857
CAT,4.4,4.908512831,3.14043951,3.321251571,5.297349691,5.937968612,5.236020923
CAT,3.7,4.799032688,2.967469454,3.208141506,5.039761305,5.677161932,5.250209451
CAT,3.5,4.854732156,3.107091427,3.525657892,5.154511809,6.005009055,5.320557714
CAT,3.7,4.853937626,3.029324055,3.391366839,5.144133449,5.894567966,5.051949978
