segment_id,category,n_poi,mean_satisfaction,mean_Safety,mean_Aesthetics,mean_Vibrancy,mean_Wealth,mean_Depression,mean_Boring,dominant_shap_driver,negative_shap_driver,negative_shap_value,low_satisfaction_flag,low_satisfaction_threshold,geometry_wkt_epsg32649,centroid_x_epsg32649,centroid_y_epsg32649
S000602,CAT,18,3.611111111111112,3.039506163888889,4.829801254555555,3.380867911555556,5.143476141888888,5.852398475111112,5.30348020111111,Safety,Safety,-0.04082328307119785,0,3.542857142857143,"MultiLineString ((812299.26992292248178273 3387634.5457632071338594, 812314.46293676784262061 3387603.02926806546747684, 812329.370283781317994 3387514.69576180772855878, 812374.71922191791236401 3387247.98210246209055185, 812390.85970122774597257 3387207.31357119930908084))",812345.3583978236,3387421.182700119
S000998,CAT,8,3.6500000000000004,3.04779280725,4.867050230499999,3.4234761,5.17667967075,5.80303704725,5.245342374,Wealth,Depression,-0.019805894249778022,0,3.542857142857143,"MultiLineString ((819254.00945022271480411 3388812.28648790623992682, 819342.12100030132569373 3388952.7536806003190577, 819431.63520194566808641 3389086.63638593535870314, 819714.74102496122941375 3389468.20830864319577813))",819478.8919067769,3389144.0197649226
S000403,CAT,10,3.5800000000000005,2.9282581446,4.8818700788000005,3.35533278,5.1886299376,5.881801724400001,5.196747637,Safety,Safety,-0.03254149578001042,0,3.542857142857143,"MultiLineString ((819153.4467327818274498 3382918.5737636536359787, 819142.41453268472105265 3382894.21543149463832378, 819140.89890953619033098 3382890.87382144760340452, 819113.02968139969743788 3382822.65991608938202262, 819067.05702195782214403 3382723.51856416184455156, 819009.01052938995417207 3382591.63008454069495201, 818988.63865121942944825 3382550.95625683758407831))",819072.2103451807,3382734.236756346
S001310,CAT,14,3.542857142857143,3.1379837392857146,4.876562169714285,3.3603253111428573,5.219502347142857,5.79311810242857,5.3330826590000004,Vibrancy,Boring,-0.04112085748996224,1,3.542857142857143,"MultiLineString ((827551.7401707002427429 3379056.00822858978062868, 827551.85870082466863096 3379045.42106005316600204, 827551.99149157921783626 3379033.09136127401143312, 827552.58082137745805085 3379022.19656493002548814, 827559.77382100676186383 3378753.37156792171299458, 827561.56675978703424335 3378686.49543354427441955, 827573.38489901868160814 3378474.80514469789341092, 827560.06368934805504978 3378201.10776914563030005, 827550.86634804587811232 3377960.4288448728621006))",827560.9864065145,3378508.1676887358
S001299,CAT,8,3.575,3.0475215315,4.83532118825,3.3249064835,5.15538492825,5.860122382750001,5.327452868249999,Aesthetics,Depression,-0.03126409916004444,0,3.542857142857143,"MultiLineString ((813321.55951628205366433 3394806.41370114451274276, 813262.83012869954109192 3394764.95476750330999494, 813187.94384838873520494 3394714.7231708294712007, 813062.13409265223890543 3394611.30700830789282918, 813005.27104542660526931 3394573.58923370204865932, 812931.47541405912488699 3394526.36620372626930475, 812777.21639242745004594 3394413.26898179436102509, 812489.03593445057049394 3394209.25106124160811305, 812427.63523140479810536 3394165.04479248449206352, 812101.11053363839164376 3393968.20635397266596556, 811902.39823741395957768 3393848.41818699100986123, 811851.07063140103127807 3393817.16147172683849931))",812596.0099756306,3394297.4840970687
S000840,CAT,10,3.9,3.0384440299999995,4.8266284941999995,3.5032806992000003,5.1483515980000005,5.793291544800001,5.245242953400001,Wealth,,0.007549988846322762,0,3.542857142857143,"MultiLineString ((819143.94439785741269588 3383020.07356248097494245, 819253.9434470753185451 3383274.78202837612479925, 819387.09305782942101359 3383583.10395697085186839, 819470.68012043670751154 3383786.99424734991043806, 819511.41236948582809418 3383883.68557109497487545))",819329.0861135995,3383451.2849131725
S000928,CAT,6,3.5666666666666664,3.035452803,4.850105722666666,3.3722955186666668,5.078013976333334,5.866556446,5.183249950666667,Depression,Depression,-0.036745398167276254,0,3.542857142857143,"MultiLineString ((826198.32402282406110317 3377123.82877889461815357, 826168.11119312467053533 3376780.69097292795777321, 826155.16665407188702375 3376601.30548531468957663, 826148.162537288852036 3376440.16058975318446755, 826147.81492687261197716 3376432.22388652199879289))",826169.8802427243,3376778.241110544
S001482,CAT,14,3.557142857142858,3.116901602285714,4.892946175285714,3.4725762009999994,5.213380319714285,5.858228036428571,5.281603557714286,Boring,Boring,-0.043621383069562016,0,3.542857142857143,"MultiLineString ((822552.29093092971015722 3390280.0904818126000464, 822595.62938575097359717 3390305.0657939538359642, 822615.64369346317835152 3390317.82046849001199007, 822625.52689901133999228 3390324.16630826191976666, 822683.05399245535954833 3390361.13396801147609949, 822691.92889615392778069 3390366.83920826576650143, 823089.37819356727413833 3390616.51903470698744059, 823247.67569873994216323 3390715.7357494505122304, 823396.80003414396196604 3390810.16174154402688146, 823503.71601348975673318 3390875.61461016815155745, 823886.43476277810987085 3391117.78123594494536519, 824190.05980845540761948 3391229.9305063895881176, 824307.79266859183553606 3391269.41891944129019976, 824322.21493286965414882 3391275.4812329625710845))",823420.7873207355,3390811.750553446
S000984,CAT,10,4.0,3.0664611102000006,4.793689083999999,3.519103372,5.1243527890000005,5.8990911246,5.257466673800001,Aesthetics,,0.01136180684607633,0,3.542857142857143,"MultiLineString ((810015.64258225064259022 3392793.79817262897267938, 810345.67689622670877725 3392896.50775491632521152, 810653.56500722304917872 3392988.13335908344015479, 810904.98644107975997031 3393066.89375542989000678))",810460.3156473477,3392930.3465763396
S001945,CAT,4,3.75,3.071778506,4.8566785454999994,3.3134647905000003,5.0569802525,5.708804965,5.095176935,Vibrancy,Vibrancy,-0.037132897699950596,0,3.542857142857143,"MultiLineString ((807658.74113392771687359 3381016.24473124695941806, 807669.86027255130466074 3381011.79948844946920872, 807700.03004153980873525 3380999.72734459210187197, 807710.84779478888958693 3380995.40682085789740086, 807747.9151135585270822 3380986.43902463465929031, 807781.45193121558986604 3380980.9892406715080142, 807816.45697505923453718 3380981.68575866241008043, 807838.31941125355660915 3380984.99401513068005443, 807863.10124497208744287 3380990.72743156692013144, 807883.46067915041930974 3380998.56582016404718161, 807914.13448380981571972 3381013.01334512745961547, 807942.46274489932693541 3381030.19125573057681322, 807965.2603417846839875 3381052.96102725528180599, 807984.56986873527057469 3381078.76159115508198738, 808000.75451719528064132 3381110.36671374458819628, 808015.69873991142958403 3381145.03337414190173149))",807859.4392524497,3381024.08278205
S001595,CAT,6,4.033333333333333,3.0622069636666667,4.882049560666666,3.4782970946666665,5.123714327666667,5.830543756666667,5.213317235666666,Aesthetics,,0.026422000152286074,0,3.542857142857143,"MultiLineString ((826282.86513287574052811 3378035.85473438166081905, 826237.64655455877073109 3377597.85864298883825541))",826260.2558437171,3377816.8566886852
