category,feature,rf_importance
CAT,Bea,0.16258348746853288
CAT,Saf,0.16505430913511726
CAT,Act,0.16646939934658278
CAT,Wth,0.1658170721627393
CAT,Dpr,0.16897355334453015
CAT,Bro,0.17110217854249773
ISS,Bea,0.18541236874437386
ISS,Saf,0.16010607115585174
ISS,Act,0.15450986155786328
ISS,Wth,0.16798038316061417
ISS,Dpr,0.16548685444478511
ISS,Bro,0.1665044609365118
LEX,Bea,0.17853450001212048
LEX,Saf,0.15959547290487458
LEX,Act,0.16262000313679778
LEX,Wth,0.1637074677334785
LEX,Dpr,0.1702974634880721
LEX,Bro,0.1652450927246564
RTL,Bea,0.16873785159552906
RTL,Saf,0.16468399036864803
RTL,Act,0.1667541746379115
RTL,Wth,0.16856184750340064
RTL,Dpr,0.1673842266986183
RTL,Bro,0.16387790919589248
